read_id	alignment_direction	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_mapq
71c06027-0fe8-4c3b-8fb6-3dcba556a444	-	chr16_Head	90974	91126	14
11077c45-b213-442e-b891-a4643ec7d187	+	chr16_Head	91946	92256	13
41c25098-48fd-4c48-8f80-0211a812d04e	+	chr16_Head	91947	92256	1
7a2642d8-adc7-45c0-86ac-cf308d1a4671	-	chr16_Head	91947	92282	9
fc57f908-ce60-4953-864e-6cf674ef156d	-	chr16_Head	91947	92249	35
983b05ac-88c6-4170-93f3-86c6783efb07	-	chr16_Head	91947	92256	0
bc331c7c-44b6-419f-b5c7-d2f65e950b4e	-	chr16_Head	91951	92247	43
c3e25a7c-7fd9-40b9-b6a9-946b41a82423	+	chr16_Head	91958	92240	0
71c06027-0fe8-4c3b-8fb6-3dcba556a444	-	chr16_Head	91959	92239	12
6b480b8c-8ad1-45f7-b810-46cb7c5d6de9	-	chr16_Head	94590	94698	1
983b05ac-88c6-4170-93f3-86c6783efb07	+	chr16_Head	99938	100242	0
80c61827-d5d0-477e-91e7-0428105fb0a5	-	chr16_Head	102706	103015	24
bb294e40-6f6b-4233-91d0-be03aa08d014	-	chr16_Head	106252	106541	10
0841c511-2755-4bae-a137-0040d8f41e44	-	chr16_Head	106291	106462	1
3de93e94-e537-45e7-a418-5fc9fb6d4ce6	-	chr16_Head	113389	113669	0
3c383c38-5cf2-4c49-a53a-1bd2592fa5a2	+	chr16_Head	119764	120057	0
b43d7df0-8f63-42c7-b006-4e9718f63dec	-	chr16_Head	119764	120057	0
c3e25a7c-7fd9-40b9-b6a9-946b41a82423	+	chr16_Head	122338	122823	23
d9669075-60c9-45e9-8e10-f150d964121a	+	chr16_Head	122480	122771	0
494d35a1-6c14-4979-90b5-1f0195ffe824	+	chr16_Head	123937	124246	0
a228d7a9-fc46-43dc-8aa3-c990fbd4e9c6	-	chr16_Head	124507	124790	7
c3c42f81-f3d6-4824-bfa3-d8838542c055	-	chr16_Head	125957	126260	0
a228d7a9-fc46-43dc-8aa3-c990fbd4e9c6	-	chr16_Head	125962	126272	21
4800e5ff-ba84-40e6-88b1-acd5130b9006	+	chr16_Head	125963	126270	32
b43d7df0-8f63-42c7-b006-4e9718f63dec	+	chr16_Head	125966	126270	1
cb9f1492-7e33-48ed-a968-f56291e29c36	+	chr16_Head	125966	126270	0
f69f4181-378f-4448-8d63-382a81ba8f25	-	chr16_Head	125966	126271	1
dc141981-dbb0-420f-ad3a-fde96d7591a7	-	chr16_Head	125966	126270	36
dc141981-dbb0-420f-ad3a-fde96d7591a7	-	chr16_Head	125966	126902	39
4800e5ff-ba84-40e6-88b1-acd5130b9006	-	chr16_Head	125966	126252	0
e89a24b0-7c39-42cc-8e43-8f981dafd92f	-	chr16_Head	125966	126270	13
7d290fdf-3da6-4455-8564-2ec11fe2e953	-	chr16_Head	125967	126271	1
f4fc89dd-4d0d-4adf-bd6d-7b1c7995264f	+	chr16_Head	125968	126269	1
7a2642d8-adc7-45c0-86ac-cf308d1a4671	+	chr16_Head	125975	126270	0
71c06027-0fe8-4c3b-8fb6-3dcba556a444	+	chr16_Head	125978	126270	3
832a15ea-a7d2-4377-b81a-299f06b816ab	-	chr16_Head	126634	126902	0
cb9f1492-7e33-48ed-a968-f56291e29c36	-	chr16_Head	126634	126729	0
576019ff-8ba9-4e12-81f0-86014c171132	+	chr16_Head	128825	129104	0
2f63e679-6958-4f46-89c6-77a4a59ca541	+	chr16_Head	128825	129113	6
de90baf2-3c24-41ff-af8c-a4883da5fcb8	+	chr16_Head	128828	129113	17
ca7e6198-5158-4de0-afd8-cb4231771fc1	+	chr16_Head	130162	130778	1
576019ff-8ba9-4e12-81f0-86014c171132	-	chr16_Head	130472	130778	0
fad75de4-ecb7-458f-b152-4a4be47b96f6	+	chr16_Head	130531	130780	0
832a15ea-a7d2-4377-b81a-299f06b816ab	-	chr16_Head	136910	137050	0
c83ffe9a-cebd-4577-8e5f-5a06e4b6cea8	-	chr16_Head	136911	137205	0
5eda8221-8e14-45da-9be1-bbb255610e4b	+	chr16_Head	136913	137193	0
8c1d62d6-5589-4adb-a27c-001b3249befe	+	chr16_Head	136918	137730	2
b8363116-549e-4610-9413-f15a2ad0dddc	+	chr16_Head	137423	137721	0
a4aac2b9-e332-4bc4-badd-750f87c7f51d	+	chr16_Head	137428	137718	0
0fae791c-e30c-413a-88da-9a003564bef4	-	chr16_Head	138685	138963	1
73fc839f-a0aa-4e3f-b214-7bb37013cb0e	+	chr16_Head	138686	138963	0
743a7dbf-573a-4501-a0e2-02fe31572b58	+	chr16_Head	138786	138988	0
fc57f908-ce60-4953-864e-6cf674ef156d	-	chr16_Head	141553	141840	33
a228d7a9-fc46-43dc-8aa3-c990fbd4e9c6	-	chr16_Head	142699	142984	1
950364fb-1425-4ab4-a19c-7c0ae54f07aa	+	chr16_Head	142700	142988	0
a228d7a9-fc46-43dc-8aa3-c990fbd4e9c6	+	chr16_Head	143309	143426	0
5eda8221-8e14-45da-9be1-bbb255610e4b	-	chr17_Head	33100	33348	0
832a15ea-a7d2-4377-b81a-299f06b816ab	+	chr17_Head	33255	33347	0
80f5170d-aad3-4154-b55a-95ae11d61161	+	chr17_Head	52635	52847	0
40e7d3d4-3f99-4247-af01-3caa48b9a99f	-	chr17_Head	61899	62527	14
e89a24b0-7c39-42cc-8e43-8f981dafd92f	+	chr17_Head	86852	87373	44
f07315de-68a3-443d-b6db-569b89922c4c	-	chr17_Head	86853	87366	51
54dc6430-63bb-40d5-b79d-04af727c80e1	-	chr17_Head	88699	88987	4
264aad39-3f75-45fb-adf7-988df00e3937	+	chr17_Head	88705	88990	19
54dc6430-63bb-40d5-b79d-04af727c80e1	+	chr17_Head	89561	89832	0
54dc6430-63bb-40d5-b79d-04af727c80e1	-	chr17_Head	90750	91044	0
80f5170d-aad3-4154-b55a-95ae11d61161	-	chr17_Head	90760	91015	0
b4f45cf4-bb67-4ad0-ad65-0cc14516b7a2	-	chr17_Head	90843	91046	0
cddb222b-3217-42b1-af19-a48967bd1ab9	+	chr17_Head	91398	91602	1
a3694b65-9221-4a6c-ab70-f722edd6bcfc	-	chr17_Head	114128	114360	0
41c25098-48fd-4c48-8f80-0211a812d04e	+	chr17_Head	126747	127040	0
41c25098-48fd-4c48-8f80-0211a812d04e	+	chr17_Head	143736	144041	0
a3694b65-9221-4a6c-ab70-f722edd6bcfc	-	chr17_Head	143812	144035	1
0e950199-6fad-424a-a63f-8dfaa9376c87	+	chr18_Head	26350	31605	0
e86cb83e-253c-4645-a589-02ceeeaf746b	-	chr18_Head	26707	31598	0
1c8789d0-8d0a-4f39-a83b-4bbfb68d9820	-	chr18_Head	27785	31596	0
faf721b9-e5d0-4640-be93-ab25a8d70349	-	chr18_Head	28054	30247	0
4a9b6d46-1097-4206-aee3-5d6a41b4d515	+	chr18_Head	28879	31397	0
4eb51968-9360-468f-a92a-79bda3c66e60	-	chr18_Head	28897	31475	0
f07315de-68a3-443d-b6db-569b89922c4c	+	chr18_Head	29130	31614	0
2ab2ae04-63ed-48df-8a01-3800b4154537	-	chr18_Head	29771	30850	0
4d22a731-93fc-48e2-a825-0352962b785f	-	chr18_Head	29794	31607	0
0083b83b-c904-4d65-9edd-da15bbce5a4e	+	chr18_Head	29893	30725	0
15509418-f75a-4ab3-8534-45ed86fef394	+	chr18_Head	44889	45248	0
3083def3-f431-4d95-9f93-8e00c157ace1	-	chr18_Head	45180	45505	0
4366c8f4-129a-49f8-a05c-2702c327583c	-	chr18_Head	45186	45513	0
176db1e5-dd25-4031-be1b-6b98a3b90497	+	chr18_Head	49671	52124	0
597f7a6e-2d7f-4edc-81b8-712f1fd53649	+	chr18_Head	53396	54071	15
597f7a6e-2d7f-4edc-81b8-712f1fd53649	+	chr18_Head	53396	54071	0
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr18_Head	53396	54071	1
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr18_Head	53396	54071	1
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr18_Head	53396	54071	0
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr18_Head	53396	54071	60
0e950199-6fad-424a-a63f-8dfaa9376c87	+	chr18_Head	80366	85621	0
e86cb83e-253c-4645-a589-02ceeeaf746b	-	chr18_Head	80723	85614	0
1c8789d0-8d0a-4f39-a83b-4bbfb68d9820	-	chr18_Head	81801	85612	0
faf721b9-e5d0-4640-be93-ab25a8d70349	-	chr18_Head	82070	84263	0
4a9b6d46-1097-4206-aee3-5d6a41b4d515	+	chr18_Head	82895	85413	0
4eb51968-9360-468f-a92a-79bda3c66e60	-	chr18_Head	82913	85491	0
f07315de-68a3-443d-b6db-569b89922c4c	+	chr18_Head	83146	85630	0
2ab2ae04-63ed-48df-8a01-3800b4154537	-	chr18_Head	83787	84866	0
4d22a731-93fc-48e2-a825-0352962b785f	-	chr18_Head	83810	85623	0
0083b83b-c904-4d65-9edd-da15bbce5a4e	+	chr18_Head	83909	84741	0
15509418-f75a-4ab3-8534-45ed86fef394	+	chr18_Head	98905	99264	0
3083def3-f431-4d95-9f93-8e00c157ace1	-	chr18_Head	99196	99521	0
4366c8f4-129a-49f8-a05c-2702c327583c	-	chr18_Head	99202	99529	0
176db1e5-dd25-4031-be1b-6b98a3b90497	+	chr18_Head	103687	106140	0
597f7a6e-2d7f-4edc-81b8-712f1fd53649	+	chr18_Head	107413	108069	1
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr18_Head	107413	108069	0
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr18_Head	107413	108069	0
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr18_Head	107413	108069	60
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr18_Head	107413	108069	0
597f7a6e-2d7f-4edc-81b8-712f1fd53649	+	chr18_Head	107419	108069	0
0e950199-6fad-424a-a63f-8dfaa9376c87	+	chr18_Head	134412	139667	0
e86cb83e-253c-4645-a589-02ceeeaf746b	-	chr18_Head	134769	139660	0
faf721b9-e5d0-4640-be93-ab25a8d70349	-	chr18_Head	136116	138309	0
4a9b6d46-1097-4206-aee3-5d6a41b4d515	+	chr18_Head	136941	139459	0
f07315de-68a3-443d-b6db-569b89922c4c	+	chr18_Head	137192	139676	0
2ab2ae04-63ed-48df-8a01-3800b4154537	-	chr18_Head	137833	138912	0
4d22a731-93fc-48e2-a825-0352962b785f	-	chr18_Head	137856	139669	0
0083b83b-c904-4d65-9edd-da15bbce5a4e	+	chr18_Head	137955	138787	0
2a590ad7-7277-45be-8e42-bb4c62fd9dc9	+	chr19_Head	29932	30210	0
fd781713-af3d-4f65-80b9-cc21a5661dfa	+	chr19_Head	63643	64284	3
cc1a10ea-867d-4696-9dc2-e704a46235a8	+	chr19_Head	83728	84360	0
5dac4aab-a3b4-49a2-9c0c-c2e4fa724518	+	chr19_Head	84531	86313	0
c83ffe9a-cebd-4577-8e5f-5a06e4b6cea8	+	chr19_Head	88468	88745	0
3deea9c0-58d2-45a4-b507-acd0cf792fb8	+	chr19_Head	95358	95679	0
9b18cc1e-81f4-46a2-881b-e7900042d742	-	chr19_Head	96819	101780	0
0841c511-2755-4bae-a137-0040d8f41e44	-	chr19_Head	99744	101769	0
1b1493e2-19ea-41aa-ab0d-387b6aefc6b7	+	chr19_Head	101516	101781	0
e4c33489-dc77-442c-b2a9-d75b571b1681	-	chr19_Head	102540	104015	1
7d290fdf-3da6-4455-8564-2ec11fe2e953	-	chr19_Head	112126	112435	0
bc331c7c-44b6-419f-b5c7-d2f65e950b4e	+	chr19_Head	138938	139159	0
80c61827-d5d0-477e-91e7-0428105fb0a5	-	chr19_Head	139707	139997	0
b86d85db-45df-44cf-b682-14220426f8df	+	chr19_Head	145173	145251	0
728fa374-03a6-4e21-9364-8b8a435d9052	+	chr20_Head	2185	2492	0
3b8b5039-a417-47d3-81da-a31e1ae88335	+	chr20_Head	2185	2493	0
b09aea71-14ac-4e22-a85e-8a7306451045	-	chr20_Head	2191	2462	0
3de93e94-e537-45e7-a418-5fc9fb6d4ce6	+	chr20_Head	4946	5241	0
d2840f27-afa7-44e6-b996-618f584f38f1	-	chr20_Head	47846	48168	0
45cdcd1e-4a3f-4ef0-a035-2d496fcc4919	+	chr20_Head	55092	55385	0
3d996caa-cc16-491d-b6cb-e931a4656c7b	-	chr20_Head	62819	62883	0
e8f21d0a-9b09-4355-8c2c-2230324c9a3f	-	chr20_Head	63127	63833	0
597f7a6e-2d7f-4edc-81b8-712f1fd53649	+	chr20_Head	68041	68462	39
69931762-d1ae-4676-88cb-0cff5a0ea39c	+	chr20_Head	68041	68462	0
6828bfef-dc58-4509-ac43-ef58ec5da724	-	chr20_Head	93920	94225	0
8fc88629-f3bd-469a-ab6c-28a2eaeb4676	+	chr20_Head	98426	100770	1
8fc88629-f3bd-469a-ab6c-28a2eaeb4676	+	chr20_Head	99526	101967	0
8fc88629-f3bd-469a-ab6c-28a2eaeb4676	+	chr20_Head	101415	103564	0
8fc88629-f3bd-469a-ab6c-28a2eaeb4676	+	chr20_Head	102035	104012	0
8fc88629-f3bd-469a-ab6c-28a2eaeb4676	+	chr20_Head	102364	104571	0
8fc88629-f3bd-469a-ab6c-28a2eaeb4676	+	chr20_Head	104589	106716	0
d7a02959-f56e-44a1-9962-95a9f3fe1c70	-	chr20_Head	111925	112470	1
6e14c20a-571e-46b5-a093-5a83f6f20235	-	chr20_Head	116104	116416	7
5dac4aab-a3b4-49a2-9c0c-c2e4fa724518	-	chr20_Head	117342	118907	27
5e1b3846-6d42-4aac-8221-d9dfd3400f61	+	chr20_Head	117944	118380	1
5a9ff7e2-5ae9-4c18-b361-7145866fa187	+	chr20_Head	120882	121727	2
176db1e5-dd25-4031-be1b-6b98a3b90497	+	chr20_Head	124383	126004	0
3377414a-9e2c-4a00-b67a-e5d628b2433f	-	chr20_Head	124388	126006	0
ef49dc14-d23b-4102-89f2-6446604d3590	+	chr20_Head	137028	137955	20
5e1b3846-6d42-4aac-8221-d9dfd3400f61	-	chr20_Head	137326	138242	0
99985915-30e6-4aa0-92ad-ba88c29ba00f	-	chr20_Head	137369	138175	25
55748afc-9646-4dde-860f-eef210ede57d	-	chr20_Head	137518	138093	57
40e7d3d4-3f99-4247-af01-3caa48b9a99f	-	chr21_Head	943	1237	0
ccf77dae-395f-4109-a638-424ab035301d	+	chr21_Head	981	1197	0
a6a23bf4-5a86-47b5-9a26-ac7f78e619b0	+	chr21_Head	2836	3238	0
a1b8ab51-3b05-4ea3-a51b-67d678abfd1a	-	chr21_Head	2866	3220	0
1db45993-004d-4b9f-a84d-8a2fa0014274	-	chr21_Head	23666	25296	0
fe15c70a-ea8d-4b8d-95a7-38a82f82cb59	-	chr21_Head	30900	31082	0
a3694b65-9221-4a6c-ab70-f722edd6bcfc	+	chr21_Head	37588	37800	0
62e423d5-67e1-4660-9625-27ecfa6b44f4	+	chr21_Head	39521	39721	0
8c1d62d6-5589-4adb-a27c-001b3249befe	+	chr21_Head	40568	40807	0
d2840f27-afa7-44e6-b996-618f584f38f1	+	chr21_Head	40585	40865	0
7b8a9146-c8fc-46e0-91b0-f365255c1cc7	+	chr21_Head	40591	40863	0
c2af814b-5c19-46f1-9a18-4c8e37c02eff	+	chr21_Head	40941	41056	0
40e7d3d4-3f99-4247-af01-3caa48b9a99f	-	chr22_Head	943	1237	0
ccf77dae-395f-4109-a638-424ab035301d	+	chr22_Head	981	1197	0
a6a23bf4-5a86-47b5-9a26-ac7f78e619b0	+	chr22_Head	2836	3238	0
1db45993-004d-4b9f-a84d-8a2fa0014274	-	chr22_Head	23655	25285	0
b3c0c15a-3e51-4f63-b055-8f89686b02e0	+	chr22_Head	37584	37729	1
a3694b65-9221-4a6c-ab70-f722edd6bcfc	+	chr22_Head	37590	37802	0
7b8a9146-c8fc-46e0-91b0-f365255c1cc7	+	chr22_Head	40602	40874	0
c2af814b-5c19-46f1-9a18-4c8e37c02eff	+	chr22_Head	40876	41061	0
5a9ff7e2-5ae9-4c18-b361-7145866fa187	-	chr22_Head	43710	44012	0
b3c0c15a-3e51-4f63-b055-8f89686b02e0	+	chr22_Head	43711	44020	0
fad75de4-ecb7-458f-b152-4a4be47b96f6	+	chr22_Head	43769	44006	0
b087dc75-3ae2-406b-a60b-e43ca7459cdc	+	chrX_Head	1881	2211	1
10db0147-193b-40c2-befd-91cfcce682d6	+	chrX_Head	5217	5520	0
f32bd508-ed02-407f-83f7-3044566b1d5d	+	chrX_Head	5221	5529	0
f4fc89dd-4d0d-4adf-bd6d-7b1c7995264f	-	chrX_Head	14209	14508	0
5eda8221-8e14-45da-9be1-bbb255610e4b	-	chrX_Head	15117	15753	0
7b8a9146-c8fc-46e0-91b0-f365255c1cc7	-	chrX_Head	70170	70454	0
6107829d-841d-4ba9-b52d-8544b3afd518	+	chrX_Head	70172	70813	0
ca7e6198-5158-4de0-afd8-cb4231771fc1	+	chrX_Head	70510	70813	0
3bee6729-7a05-4f4f-950d-d9378b17fb3c	+	chrX_Head	70510	70813	0
f402687e-0768-467d-a377-3464bee186ba	-	chrX_Head	70511	71114	0
46a1174a-be6e-4f3c-8078-d72bf78edd7f	-	chrX_Head	70525	70809	0
4800e5ff-ba84-40e6-88b1-acd5130b9006	+	chrX_Head	70528	70813	0
02bfb3ad-2d40-4828-bb25-44e1f76372b1	-	chrX_Head	70547	70809	0
b8363116-549e-4610-9413-f15a2ad0dddc	-	chrX_Head	70825	71126	0
a228d7a9-fc46-43dc-8aa3-c990fbd4e9c6	+	chrX_Head	70969	71123	1
fc57f908-ce60-4953-864e-6cf674ef156d	-	chrX_Head	71705	71994	0
b8363116-549e-4610-9413-f15a2ad0dddc	-	chrX_Head	71705	71994	0
c380b73a-60f0-45e0-b483-d5d0540e2599	-	chrX_Head	71706	71997	0
3be438b4-5f1d-4794-a48f-c242a27454fc	+	chrX_Head	75676	75984	0
a4aac2b9-e332-4bc4-badd-750f87c7f51d	-	chrX_Head	78991	79296	0
c3e25a7c-7fd9-40b9-b6a9-946b41a82423	+	chrX_Head	78993	79293	0
d99fe13e-a3f6-4482-942e-01c6f1b80dde	+	chrX_Head	108842	109139	0
dc141981-dbb0-420f-ad3a-fde96d7591a7	+	chrX_Head	118420	119312	29
6b480b8c-8ad1-45f7-b810-46cb7c5d6de9	+	chrX_Head	119020	119311	0
dc141981-dbb0-420f-ad3a-fde96d7591a7	+	chrX_Head	120601	121211	0
6e14c20a-571e-46b5-a093-5a83f6f20235	+	chrX_Head	122515	122817	0
c0013859-caf4-428f-a12c-e3d5adf0e01f	-	chrX_Head	122524	122817	0
40e7d3d4-3f99-4247-af01-3caa48b9a99f	-	chrX_Head	125897	126170	0
40e7d3d4-3f99-4247-af01-3caa48b9a99f	+	chrX_Head	126178	126475	3
5a9ff7e2-5ae9-4c18-b361-7145866fa187	+	chrX_Head	126333	126472	1
e89a24b0-7c39-42cc-8e43-8f981dafd92f	+	chrX_Head	126344	126470	22
40e7d3d4-3f99-4247-af01-3caa48b9a99f	+	chrX_Head	127120	127400	1
02bfb3ad-2d40-4828-bb25-44e1f76372b1	+	chrX_Head	128035	128326	1
e8f21d0a-9b09-4355-8c2c-2230324c9a3f	+	chrX_Head	128050	128327	0
40e7d3d4-3f99-4247-af01-3caa48b9a99f	+	chrX_Head	128051	128321	5
576019ff-8ba9-4e12-81f0-86014c171132	+	chrX_Head	128963	129292	0
02bfb3ad-2d40-4828-bb25-44e1f76372b1	+	chrX_Head	130187	130473	1
02bfb3ad-2d40-4828-bb25-44e1f76372b1	+	chrX_Head	131722	132018	1
b43d7df0-8f63-42c7-b006-4e9718f63dec	+	chrX_Head	141048	141354	0
b087dc75-3ae2-406b-a60b-e43ca7459cdc	+	chrY_Head	1881	2211	0
2f63e679-6958-4f46-89c6-77a4a59ca541	+	chrY_Head	5818	6128	0
ca7e6198-5158-4de0-afd8-cb4231771fc1	-	chrY_Head	5819	6129	0
f4fc89dd-4d0d-4adf-bd6d-7b1c7995264f	-	chrY_Head	13711	14010	0
6107829d-841d-4ba9-b52d-8544b3afd518	+	chrY_Head	73115	73756	0
ca7e6198-5158-4de0-afd8-cb4231771fc1	+	chrY_Head	73453	73756	0
3bee6729-7a05-4f4f-950d-d9378b17fb3c	+	chrY_Head	73453	73756	0
f402687e-0768-467d-a377-3464bee186ba	-	chrY_Head	73454	74057	0
46a1174a-be6e-4f3c-8078-d72bf78edd7f	-	chrY_Head	73468	73752	0
02bfb3ad-2d40-4828-bb25-44e1f76372b1	-	chrY_Head	73490	73752	0
fc57f908-ce60-4953-864e-6cf674ef156d	-	chrY_Head	74648	74937	0
b8363116-549e-4610-9413-f15a2ad0dddc	-	chrY_Head	74648	74937	0
c380b73a-60f0-45e0-b483-d5d0540e2599	-	chrY_Head	74649	74940	0
3be438b4-5f1d-4794-a48f-c242a27454fc	+	chrY_Head	78619	78927	0
a4aac2b9-e332-4bc4-badd-750f87c7f51d	-	chrY_Head	81934	82239	0
c3e25a7c-7fd9-40b9-b6a9-946b41a82423	+	chrY_Head	81936	82236	0
b087dc75-3ae2-406b-a60b-e43ca7459cdc	+	chrY_Head	81947	82143	1
c3c42f81-f3d6-4824-bfa3-d8838542c055	-	chrY_Head	111838	112140	0
8ac02ba5-f878-4e5e-9ce1-11e6b17d4cd3	-	chrY_Head	113351	113660	1
dc141981-dbb0-420f-ad3a-fde96d7591a7	+	chrY_Head	114235	115091	0
f32bd508-ed02-407f-83f7-3044566b1d5d	-	chrY_Head	114398	114685	0
6b480b8c-8ad1-45f7-b810-46cb7c5d6de9	+	chrY_Head	114835	115126	0
dc141981-dbb0-420f-ad3a-fde96d7591a7	-	chrY_Head	116268	116408	1
dc141981-dbb0-420f-ad3a-fde96d7591a7	+	chrY_Head	116416	117026	1
ebbdcd1a-37fc-4003-8d7e-24dc80790ee9	+	chrY_Head	117743	118039	0
6e14c20a-571e-46b5-a093-5a83f6f20235	+	chrY_Head	118329	118631	0
c0013859-caf4-428f-a12c-e3d5adf0e01f	-	chrY_Head	118338	118631	0
3be438b4-5f1d-4794-a48f-c242a27454fc	+	chrY_Head	121505	121791	0
e8f21d0a-9b09-4355-8c2c-2230324c9a3f	+	chrY_Head	123367	123644	0
576019ff-8ba9-4e12-81f0-86014c171132	+	chrY_Head	124280	124609	0
3c383c38-5cf2-4c49-a53a-1bd2592fa5a2	-	chrY_Head	127039	127328	0
d2840f27-afa7-44e6-b996-618f584f38f1	+	chr1_Tail	18737	19019	0
05d3a628-8ca7-4100-a782-e55ed95c1570	+	chr1_Tail	18748	19528	1
176db1e5-dd25-4031-be1b-6b98a3b90497	-	chr1_Tail	23820	24118	0
a1b8ab51-3b05-4ea3-a51b-67d678abfd1a	-	chr1_Tail	23822	24108	5
c9fa6f4f-771e-478c-92c5-d8a71ab7f943	-	chr1_Tail	28280	28581	0
3377414a-9e2c-4a00-b67a-e5d628b2433f	-	chr1_Tail	28288	28581	0
40e7d3d4-3f99-4247-af01-3caa48b9a99f	-	chr1_Tail	30429	30743	20
ca7e6198-5158-4de0-afd8-cb4231771fc1	+	chr1_Tail	40896	41189	3
d9f9f44f-d400-4658-9313-ad7f206fb3da	-	chr1_Tail	41252	41535	0
bb294e40-6f6b-4233-91d0-be03aa08d014	+	chr1_Tail	61926	62222	1
a6a23bf4-5a86-47b5-9a26-ac7f78e619b0	+	chr1_Tail	69545	69840	1
1f321fe5-36cf-4861-9e24-4f70ea61c489	-	chr1_Tail	71121	71329	0
8f2b8b28-48b1-4d05-8701-02869c6b01a2	-	chr1_Tail	71189	71380	0
7d290fdf-3da6-4455-8564-2ec11fe2e953	-	chr1_Tail	72411	72603	7
b09aea71-14ac-4e22-a85e-8a7306451045	+	chr1_Tail	72412	72714	8
dc141981-dbb0-420f-ad3a-fde96d7591a7	+	chr1_Tail	73746	74050	2
54dc6430-63bb-40d5-b79d-04af727c80e1	+	chr1_Tail	73750	74030	0
45cdcd1e-4a3f-4ef0-a035-2d496fcc4919	+	chr1_Tail	73756	74047	0
40e7d3d4-3f99-4247-af01-3caa48b9a99f	+	chr1_Tail	73761	74050	12
d2840f27-afa7-44e6-b996-618f584f38f1	+	chr1_Tail	73766	74047	17
1b1493e2-19ea-41aa-ab0d-387b6aefc6b7	-	chr1_Tail	76060	76144	1
de90baf2-3c24-41ff-af8c-a4883da5fcb8	-	chr1_Tail	76185	76470	1
bb294e40-6f6b-4233-91d0-be03aa08d014	+	chr1_Tail	76190	76486	16
f2ba16c7-fd4a-4a85-bb58-499541a4bedb	-	chr1_Tail	76193	76468	0
e4c33489-dc77-442c-b2a9-d75b571b1681	-	chr1_Tail	80671	80867	1
71c06027-0fe8-4c3b-8fb6-3dcba556a444	+	chr1_Tail	84276	85052	0
4800e5ff-ba84-40e6-88b1-acd5130b9006	+	chr1_Tail	84283	85054	1
de90baf2-3c24-41ff-af8c-a4883da5fcb8	-	chr1_Tail	90258	90584	0
de90baf2-3c24-41ff-af8c-a4883da5fcb8	-	chr1_Tail	91081	91393	1
5a9ff7e2-5ae9-4c18-b361-7145866fa187	+	chr1_Tail	91097	91378	60
3c383c38-5cf2-4c49-a53a-1bd2592fa5a2	-	chr1_Tail	96871	97143	0
1f321fe5-36cf-4861-9e24-4f70ea61c489	+	chr1_Tail	96947	97157	0
743a7dbf-573a-4501-a0e2-02fe31572b58	+	chr1_Tail	121449	121859	0
5e1b3846-6d42-4aac-8221-d9dfd3400f61	-	chr1_Tail	121451	122353	0
1b1493e2-19ea-41aa-ab0d-387b6aefc6b7	-	chr1_Tail	121460	121713	0
55748afc-9646-4dde-860f-eef210ede57d	+	chr1_Tail	121470	123350	0
728fa374-03a6-4e21-9364-8b8a435d9052	-	chr1_Tail	121641	122249	12
6828bfef-dc58-4509-ac43-ef58ec5da724	-	chr1_Tail	121736	122035	0
09098083-9d70-43cc-997a-9b6fcc5c9410	+	chr1_Tail	123352	123656	1
05d3a628-8ca7-4100-a782-e55ed95c1570	-	chr1_Tail	123355	123660	0
3de93e94-e537-45e7-a418-5fc9fb6d4ce6	-	chr1_Tail	141806	142101	0
3b8b5039-a417-47d3-81da-a31e1ae88335	-	chr1_Tail	144554	144863	0
728fa374-03a6-4e21-9364-8b8a435d9052	-	chr1_Tail	144555	144862	0
b09aea71-14ac-4e22-a85e-8a7306451045	+	chr1_Tail	144585	144873	0
fc57f908-ce60-4953-864e-6cf674ef156d	-	chr2_Tail	30614	30920	18
bd8fbcf7-74c2-4913-93e4-263f727d5d0f	-	chr2_Tail	45076	45559	1
c83ffe9a-cebd-4577-8e5f-5a06e4b6cea8	+	chr2_Tail	49781	50227	1
b3c0c15a-3e51-4f63-b055-8f89686b02e0	+	chr2_Tail	64381	64680	0
02bfb3ad-2d40-4828-bb25-44e1f76372b1	+	chr2_Tail	83449	83692	0
6e14c20a-571e-46b5-a093-5a83f6f20235	-	chr2_Tail	85534	85820	0
ef49dc14-d23b-4102-89f2-6446604d3590	-	chr2_Tail	92932	93229	0
2f63e679-6958-4f46-89c6-77a4a59ca541	+	chr2_Tail	110808	111096	0
8f2b8b28-48b1-4d05-8701-02869c6b01a2	+	chr2_Tail	113363	113627	0
02bfb3ad-2d40-4828-bb25-44e1f76372b1	+	chr2_Tail	113367	113663	1
55a015d5-d220-45bf-9f34-0057829a7deb	-	chr2_Tail	140663	141014	0
41c25098-48fd-4c48-8f80-0211a812d04e	+	chr3_Tail	3519	3787	0
bc331c7c-44b6-419f-b5c7-d2f65e950b4e	-	chr3_Tail	5118	5339	0
423f82f1-b3d3-4c3d-a5cc-e6884c9984cd	+	chr3_Tail	31709	32015	1
7d290fdf-3da6-4455-8564-2ec11fe2e953	+	chr3_Tail	31710	32018	0
